"","Group.1","x"
"310","E09000010, E09000025",449.2087
"311","E09000010, E09000026",357.8051
"312","E09000010, E09000027",52.9979
"313","E09000010, E09000028",198.1528
"314","E09000010, E09000029",58.3997
"315","E09000010, E09000030",282.7681
"316","E09000010, E09000031",709.3188
"317","E09000010, E09000032",172.3376
"318","E09000010, E09000033",157.0977
"319","E09000011, E09000001",7.3101
"320","E09000011, E09000002",182.3945
"321","E09000011, E09000003",202.9535
"322","E09000011, E09000004",3618.6661
"323","E09000011, E09000005",158.6643
"324","E09000011, E09000006",1078.1645
"325","E09000011, E09000007",165.5031
"326","E09000011, E09000008",359.8322
"327","E09000011, E09000009",174.5558
"328","E09000011, E09000010",137.066
"329","E09000011, E09000012",223.0218
"330","E09000011, E09000013",134.6955
"331","E09000011, E09000014",179.8075
"332","E09000011, E09000015",105.0324
"333","E09000011, E09000016",125.572
"334","E09000011, E09000017",120.7414
"335","E09000011, E09000018",120.7351
"336","E09000011, E09000019",165.5084
"337","E09000011, E09000020",86.2313
"338","E09000011, E09000021",110.1399
"339","E09000011, E09000022",456.7824
"340","E09000011, E09000023",2100.8915
"341","E09000011, E09000024",163.9521
"342","E09000011, E09000025",522.7989
"343","E09000011, E09000026",175.9842
"344","E09000011, E09000027",128.0882
"345","E09000011, E09000028",620.2432
"346","E09000011, E09000029",115.5347
"347","E09000011, E09000030",585.1541
"348","E09000011, E09000031",218.3991
"349","E09000011, E09000032",346.7364
"350","E09000011, E09000033",169.5042
"351","E09000012, E09000001",33.9528
"352","E09000012, E09000002",315.7256
"353","E09000012, E09000003",513.1083
"354","E09000012, E09000004",118.51
"355","E09000012, E09000005",293.5114
"356","E09000012, E09000006",174.5363
"357","E09000012, E09000007",658.351
"358","E09000012, E09000008",214.2353
"359","E09000012, E09000009",215.1439
"360","E09000012, E09000010",861.8792
"361","E09000012, E09000011",366.5078
"362","E09000012, E09000013",242.0771
"363","E09000012, E09000014",2284.1295
"364","E09000012, E09000015",69.6318
"365","E09000012, E09000016",225.2235
"366","E09000012, E09000017",117.7359
"367","E09000012, E09000018",91.6423
"368","E09000012, E09000019",1938.9921
"369","E09000012, E09000020",173.8758
"370","E09000012, E09000021",82.9226
"371","E09000012, E09000022",711.3287
"372","E09000012, E09000023",791.1684
"373","E09000012, E09000024",114.7975
"374","E09000012, E09000025",1001.8675
"375","E09000012, E09000026",538.5384
"376","E09000012, E09000027",125.9618
"377","E09000012, E09000028",896.2662
"378","E09000012, E09000029",35.5562
"379","E09000012, E09000030",1828.9874
"380","E09000012, E09000031",2152.2646
