"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-03-07T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,6
"2020-03-07T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,361
"2020-03-07T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,761
"2020-03-07T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,413
"2020-03-07T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,221
"2020-03-07T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,562
"2020-03-07T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,46
"2020-03-07T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,35
"2020-03-07T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,811
"2020-03-07T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,61
"2020-03-07T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,93
"2020-03-08T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,32
"2020-03-08T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,27
"2020-03-08T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,6
"2020-03-08T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,406
"2020-03-08T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,997
"2020-03-08T18:00:00","ITA",3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,501
"2020-03-08T18:00:00","ITA",3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,243
"2020-03-08T18:00:00","ITA",3,"Lombardia",19,"Cremona","CR",45.13336675,10.02420865,665
"2020-03-08T18:00:00","ITA",3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,56
"2020-03-08T18:00:00","ITA",3,"Lombardia",97,"Lecco","LC",45.85575781,9.393392246,53
"2020-03-08T18:00:00","ITA",3,"Lombardia",98,"Lodi","LO",45.31440693,9.503720769,853
"2020-03-08T18:00:00","ITA",3,"Lombardia",108,"Monza e della Brianza","MB",45.58439043,9.273582472,59
"2020-03-08T18:00:00","ITA",3,"Lombardia",988,"In fase di definizione/aggiornamento","",NA,NA,291
"2020-03-09T18:00:00","ITA",3,"Lombardia",12,"Varese","VA",45.81701677,8.822868344,44
"2020-03-09T18:00:00","ITA",3,"Lombardia",13,"Como","CO",45.8099912,9.085159546,40
"2020-03-09T18:00:00","ITA",3,"Lombardia",14,"Sondrio","SO",46.17099261,9.87147489,7
"2020-03-09T18:00:00","ITA",3,"Lombardia",15,"Milano","MI",45.46679409,9.190347404,506
"2020-03-09T18:00:00","ITA",3,"Lombardia",16,"Bergamo","BG",45.69441368,9.668424528,1245
