"data","stato","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","totale_casi"
"2020-03-14T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,5
"2020-03-15T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,15
"2020-03-15T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,4
"2020-03-15T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,354
"2020-03-15T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,23
"2020-03-15T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,34
"2020-03-15T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,6
"2020-03-16T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,27
"2020-03-16T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,11
"2020-03-16T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,412
"2020-03-16T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,23
"2020-03-16T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,44
"2020-03-16T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,6
"2020-03-17T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,31
"2020-03-17T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,12
"2020-03-17T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,486
"2020-03-17T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,23
"2020-03-17T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,49
"2020-03-17T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,6
"2020-03-18T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,39
"2020-03-18T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,12
"2020-03-18T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,590
"2020-03-18T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,23
"2020-03-18T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,54
"2020-03-18T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,6
"2020-03-19T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,50
"2020-03-19T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,18
"2020-03-19T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,678
"2020-03-19T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,23
"2020-03-19T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,48
"2020-03-19T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,6
"2020-03-20T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,63
"2020-03-20T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,18
"2020-03-20T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,755
"2020-03-20T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,115
"2020-03-20T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,52
"2020-03-20T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,5
"2020-03-21T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,72
"2020-03-21T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,24
"2020-03-21T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,893
"2020-03-21T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,136
"2020-03-21T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,59
"2020-03-21T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,6
"2020-03-22T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,82
"2020-03-22T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,24
"2020-03-22T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1049
"2020-03-22T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,146
"2020-03-22T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,78
"2020-03-22T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,4
"2020-03-23T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,93
"2020-03-23T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,31
"2020-03-23T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1171
"2020-03-23T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,159
"2020-03-23T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,82
"2020-03-23T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,4
"2020-03-24T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,121
"2020-03-24T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,33
"2020-03-24T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1287
"2020-03-24T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,182
"2020-03-24T17:00:00","ITA",12,"Lazio",60,"Frosinone","FR",41.63964569,13.35117161,97
"2020-03-24T17:00:00","ITA",12,"Lazio",986,"In fase di definizione/aggiornamento","",NA,NA,8
"2020-03-25T17:00:00","ITA",12,"Lazio",56,"Viterbo","VT",42.4173828,12.10473416,122
"2020-03-25T17:00:00","ITA",12,"Lazio",57,"Rieti","RI",42.40488444,12.86205939,39
"2020-03-25T17:00:00","ITA",12,"Lazio",58,"Roma","RM",41.89277044,12.48366722,1428
"2020-03-25T17:00:00","ITA",12,"Lazio",59,"Latina","LT",41.46759465,12.90368482,198
