area_code,year,quarter,mean_rent_per_month,median_rent_per_month,area_code_21
E02000259,2016,4,1653.454545,1836.0,E02000259
E02000260,2016,4,1526.818182,1575.0,E02000260
E02000261,2016,4,1789.014085,1603.0,E02000261
E02000262,2016,4,1560.75,1450.0,E02000262
E02000263,2016,4,1248.076923,1000.0,E02000263
E02000264,2016,4,1534.775,1452.0,E02000264
E02000265,2016,4,1438.375,1350.0,E02000265
E02000267,2016,4,1180.916667,1200.0,E02000267
E02000268,2016,4,1594.519231,1400.0,E02000268
E02000269,2016,4,1444.447368,1450.0,E02000269
E02000270,2016,4,1529.0,1400.0,E02000270
E02000271,2016,4,1816.448276,1749.0,E02000271
E02000272,2016,4,1489.647059,1348.0,E02000272
E02000274,2016,4,1306.25,1450.0,E02006970
E02000275,2016,4,1130.2,1050.0,E02000275
E02000276,2016,4,1427.772727,1400.0,E02000276
E02000277,2016,4,1080.533333,1250.0,E02000277
E02000278,2016,4,1215.772727,1300.0,E02000278
E02000279,2016,4,1322.875,1350.0,E02000279
E02000281,2016,4,1050.0,900.0,E02000281
E02000282,2016,4,1375.481481,1427.5,E02000282
E02000283,2016,4,1367.333333,1500.5,E02000283
E02000284,2016,4,1255.75,1300.0,E02000284
E02000286,2016,4,1134.642857,1050.0,E02000286
E02000287,2016,4,3274.695652,1550.0,E02000287
E02000288,2016,4,991.9047619,800.0,E02000288
E02000289,2016,4,1535.363636,1599.5,E02000289
E02000290,2016,4,1150.0,1148.0,E02000290
E02000291,2016,4,1231.8125,1275.0,E02000291
E02000292,2016,4,1301.045455,1450.0,E02000292
E02000294,2016,4,1146.666667,1176.5,E02000294
E02000295,2016,4,1270.692308,1295.0,E02000295
E02000296,2016,4,1280.957447,1300.0,E02000296
E02000297,2016,4,1521.470588,1437.5,E02000297
E02000298,2016,4,1409.666667,1425.0,E02000298
E02000299,2016,4,1317.863636,1300.0,E02000299
E02000300,2016,4,1058.272727,1000.0,E02000300
E02000301,2016,4,1445.0,1500.0,E02000301
E02000302,2016,4,1338.576923,1348.0,E02000302
E02000303,2016,4,1251.645161,1150.0,E02000303
E02000304,2016,4,1769.444444,1500.0,E02000304
E02000305,2016,4,1283.138889,1250.0,E02000305
E02000307,2016,4,1508.176471,1600.0,E02000307
E02000308,2016,4,1402.068182,1300.0,E02000308
E02000309,2016,4,1306.75,1348.0,E02000309
E02000311,2016,4,1284.744681,1275.0,E02000311
E02000312,2016,4,1146.866667,1200.0,E02000312
E02000314,2016,4,975.5862069,1100.0,E02000314
E02000315,2016,4,1121.153846,1200.0,E02000315
E02000316,2016,4,1105.03125,1196.0,E02006991
E02000317,2016,4,1114.6,1150.0,E02000317
E02000318,2016,4,1189.423077,1150.0,E02000318
E02000319,2016,4,848.1190476,850.0,E02000319
E02000320,2016,4,1177.833333,1250.0,E02000320
E02000321,2016,4,672.0769231,625.0,E02000321
E02000323,2016,4,1005.214286,1050.0,E02000323
E02000326,2016,4,1195.5,1000.0,E02000326
E02000327,2016,4,978.4615385,837.5,E02000327
E02000328,2016,4,1876.583333,1550.0,E02000328
E02000331,2016,4,1209.461538,1250.0,E02000331
E02000333,2016,4,1601.428571,1600.0,E02000333
E02000334,2016,4,1146.0,1250.0,E02000334
E02000347,2016,4,1450.181818,1397.5,E02000347
E02000350,2016,4,6217.947368,1375.0,E02000350
E02000351,2016,4,1534.192308,1560.0,E02000351
E02000352,2016,4,1879.894737,1800.0,E02000352
E02000353,2016,4,2019.408163,2140.5,E02000353
E02000354,2016,4,1432.805556,1350.0,E02000354
E02000355,2016,4,1453.435484,1430.0,E02000355
E02000356,2016,4,1681.409091,1500.0,E02000356
E02000357,2016,4,1524.9,1350.0,E02000357
E02000358,2016,4,1604.178571,1560.0,E02000358
E02000359,2016,4,2410.181818,2275.0,E02000359
E02000360,2016,4,1776.333333,1674.5,E02000360
E02000361,2016,4,1829.3,1777.0,E02000361
E02000362,2016,4,1613.97561,1587.0,E02000362
E02000363,2016,4,1484.967742,1350.0,E02000363
E02000364,2016,4,1826.055556,1820.0,E02000364
E02000365,2016,4,1882.359551,1820.0,E02007108
E02000366,2016,4,1967.0,2241.0,E02000366
E02000367,2016,4,2135.611111,2058.0,E02000367
E02000368,2016,4,1893.678571,1525.0,E02000368
E02000369,2016,4,1956.857143,2102.0,E02000369
E02000370,2016,4,1988.304348,1733.0,E02000370
E02000371,2016,4,2137.046296,1900.0,E02007110
E02000372,2016,4,1539.414634,1450.0,E02000372
E02000373,2016,4,1169.272727,1209.0,E02000373
E02000374,2016,4,1795.217391,1722.5,E02000374
E02000375,2016,4,1340.322581,1300.0,E02000375
E02000376,2016,4,1550.021739,1452.0,E02000376
E02000377,2016,4,1685.716667,1600.0,E02000377
E02000378,2016,4,1626.842105,1408.0,E02000378
E02000379,2016,4,1711.0,1419.0,E02000379
E02000380,2016,4,1844.041667,1573.0,E02000380
E02000381,2016,4,1865.12766,1646.5,E02000381
E02000382,2016,4,2459.755102,2480.5,E02000382
E02000383,2016,4,1977.863014,1706.0,E02000383
E02000384,2016,4,1613.714286,1647.0,E02000384
E02000385,2016,4,1631.901639,1452.0,E02000385
E02000386,2016,4,1464.315789,1408.0,E02000386
E02000387,2016,4,1729.033333,1400.0,E02000387
E02000388,2016,4,2252.735294,1950.0,E02000388
E02000389,2016,4,2467.666667,1712.0,E02000389
E02000390,2016,4,1751.44186,1625.0,E02000390
E02000391,2016,4,2411.134615,1820.0,E02000391
E02000392,2016,4,2022.4,1690.0,E02000392
E02000393,2016,4,2020.522727,2170.0,E02000393
E02000394,2016,4,2572.3,2275.0,E02000394
E02000395,2016,4,1589.777778,1625.0,E02000395
E02000396,2016,4,2253.0,2379.0,E02000396
E02000397,2016,4,1403.555556,1350.0,E02000397
E02000398,2016,4,1312.36,1375.0,E02000398
E02000400,2016,4,1437.071429,1499.0,E02000400
E02000402,2016,4,1274.0625,1250.0,E02000402
E02000403,2016,4,1320.222222,1300.0,E02000403
E02000404,2016,4,1360.259259,1310.0,E02000404
E02000405,2016,4,1326.928571,1475.0,E02000405
E02000406,2016,4,1315.076923,1275.0,E02000406
E02000408,2016,4,1113.333333,850.0,E02000408
E02000409,2016,4,1364.333333,1400.0,E02000409
E02000410,2016,4,1314.521739,1250.0,E02000410
E02000412,2016,4,1275.625,1300.0,E02000412
E02000413,2016,4,1724.166667,1400.0,E02000413
E02000414,2016,4,1393.076923,1450.0,E02000414
E02000415,2016,4,1209.25,1125.0,E02000415
E02000416,2016,4,1342.210526,1322.0,E02000416
E02000417,2016,4,1509.093023,1408.0,E02000417
E02000418,2016,4,1619.866667,1500.0,E02000418
E02000419,2016,4,1368.21519,1206.5,E02000419
E02000420,2016,4,970.9565217,834.5,E02000420
E02000422,2016,4,1475.666667,1536.5,E02000422
E02000423,2016,4,1665.580645,1647.5,E02000423
E02000424,2016,4,1543.170732,1473.0,E02000424
E02000425,2016,4,964.55,1000.0,E02000425
E02000426,2016,4,1960.928571,1842.0,E02000426
E02000427,2016,4,1359.477273,1350.0,E02000427
E02000428,2016,4,1480.096774,1487.5,E02000428
E02000429,2016,4,2705.135135,1647.0,E02000429
E02000430,2016,4,1447.725806,1400.0,E02000430
E02000431,2016,4,1670.642857,1777.0,E02000431
E02000432,2016,4,1637.363636,1555.0,E02000432
E02000433,2016,4,1850.6,1451.0,E02000433
E02000434,2016,4,1303.555556,1300.0,E02000434
E02000435,2016,4,1403.625,1350.0,E02000435
E02000437,2016,4,1309.666667,1235.0,E02000437
E02000438,2016,4,1327.5,1300.0,E02000438
E02000439,2016,4,1467.705882,1499.5,E02000439
E02000440,2016,4,1594.222222,1795.0,E02000440
E02000441,2016,4,1305.294118,1262.5,E02000441
E02000442,2016,4,1288.764706,1450.0,E02000442
E02000443,2016,4,1297.533333,1250.0,E02000443
E02000444,2016,4,1529.454545,1562.5,E02000444
E02000445,2016,4,1316.0,1250.0,E02000445
E02000447,2016,4,1281.315789,1262.5,E02000447
E02000448,2016,4,1608.380952,1400.0,E02000448
E02000449,2016,4,1308.590909,1500.0,E02000449
E02000451,2016,4,1556.5625,1650.0,E02000451
E02000452,2016,4,1087.894737,1150.0,E02000452
E02000453,2016,4,955.2857143,950.0,E02000453
E02000454,2016,4,1359.772727,1250.0,E02000454
E02000455,2016,4,1225.283019,1250.0,E02000455
E02000456,2016,4,1265.166667,1050.0,E02000456
E02000457,2016,4,1104.5,1050.0,E02000457
E02000459,2016,4,1275.045455,1300.0,E02000459
E02000460,2016,4,1594.888889,1575.0,E02000460
E02000461,2016,4,1408.038462,1400.0,E02000461
E02000462,2016,4,1339.2,1447.0,E02000462
E02000463,2016,4,1283.904762,1325.0,E02000463
E02000469,2016,4,1345.0,1395.0,E02000469
E02000470,2016,4,1432.142857,1750.0,E02000470
E02000473,2016,4,1218.181818,1175.0,E02000473
E02000474,2016,4,1220.785714,1200.0,E02000474
E02000475,2016,4,1275.434783,1100.0,E02000475
E02000476,2016,4,1042.241379,1062.5,E02000476
E02000479,2016,4,1145.363636,1199.5,E02000479
E02000480,2016,4,1169.533333,1250.0,E02000480
E02000483,2016,4,1055.789474,1100.0,E02000483
E02000485,2016,4,1174.782609,1150.0,E02000485
E02000493,2016,4,1100.0,1250.0,E02000493
E02000494,2016,4,1652.818182,1625.0,E02000494
E02000495,2016,4,1254.574468,1250.0,E02000495
E02000497,2016,4,1478.157895,1350.0,E02000497
E02000498,2016,4,1871.153846,1775.0,E02000498
E02000499,2016,4,1295.416667,1300.0,E02000499
E02000500,2016,4,1480.882353,1350.0,E02000500
E02000502,2016,4,1199.0,1237.5,E02000502
E02000503,2016,4,1428.333333,1450.0,E02000503
E02000506,2016,4,1650.0,1740.0,E02000506
E02000507,2016,4,1400.666667,1497.5,E02000507
E02000508,2016,4,1379.21875,1350.0,E02000508
E02000509,2016,4,1279.948718,1150.0,E02000509
E02000510,2016,4,1348.409091,1300.0,E02000510
E02000511,2016,4,1435.416667,1475.0,E02000511
E02000512,2016,4,1304.473684,1175.0,E02000512
E02000513,2016,4,1168.571429,1300.0,E02000513
E02000514,2016,4,1335.653846,1500.0,E02000514
E02000515,2016,4,970.369863,862.5,E02000515
E02000517,2016,4,1332.214286,1275.0,E02000517
E02000518,2016,4,1008.26087,995.0,E02000518
E02000519,2016,4,1386.666667,1600.0,E02000519
E02000520,2016,4,1115.416667,1150.0,E02000520
E02000521,2016,4,1195.066667,1200.0,E02000521
E02000522,2016,4,1130.565217,1200.0,E02000522
E02000523,2016,4,1093.172414,950.0,E02000523
E02000524,2016,4,1088.25,950.0,E02000524
E02000525,2016,4,1145.1875,1200.0,E02000525
E02000526,2016,4,2446.224138,2058.0,E02000526
E02000528,2016,4,1660.444444,1603.0,E02006972
E02000529,2016,4,1279.558824,1250.0,E02000529
E02000531,2016,4,1624.607143,1550.0,E02000531
E02000532,2016,4,2117.0,1907.0,E02000532
E02000533,2016,4,1786.736842,1625.0,E02000533
E02000534,2016,4,1381.029412,1250.0,E02000534
E02000535,2016,4,1417.575758,1512.5,E02000535
E02000536,2016,4,1164.0,1250.0,E02000536
E02000537,2016,4,1348.322581,1312.5,E02000537
E02000538,2016,4,1417.631579,1450.0,E02000538
E02000539,2016,4,1252.910714,1348.0,E02000539
E02000540,2016,4,1404.714286,1350.0,E02000540
E02000541,2016,4,996.3235294,950.0,E02000541
E02000542,2016,4,1090.414634,1210.0,E02000542
E02000543,2016,4,1226.701149,1200.0,E02000543
E02000544,2016,4,1815.076923,1550.0,E02000544
E02000545,2016,4,1416.904762,1325.0,E02000545
E02000546,2016,4,1148.375,1200.0,E02000546
E02000547,2016,4,1152.083333,1175.0,E02000547
E02000548,2016,4,1122.045455,1195.0,E02000548
E02000549,2016,4,1103.0,1200.0,E02000549
E02000550,2016,4,1225.368421,1247.0,E02000550
E02000551,2016,4,888.6363636,750.0,E02000551
E02000552,2016,4,1089.64,1147.5,E02000552
E02000554,2016,4,1725.977778,1591.0,E02000554
E02000555,2016,4,1701.08,1600.0,E02000555
E02000556,2016,4,1470.020408,1370.0,E02000556
E02000557,2016,4,1489.241935,1350.0,E02000557
E02000558,2016,4,1520.25641,1497.5,E02000558
E02000559,2016,4,2005.537037,1733.0,E02000559
E02000560,2016,4,1657.030769,1473.5,E02000560
E02000561,2016,4,1531.363636,1450.0,E02000561
E02000562,2016,4,1974.413793,1733.0,E02000562
E02000563,2016,4,1613.203704,1517.0,E02000563
E02000564,2016,4,1771.896552,1625.0,E02000564
E02000565,2016,4,1752.756098,1549.5,E02000565
E02000566,2016,4,1782.787879,1625.0,E02000566
E02000567,2016,4,1712.396226,1603.0,E02000567
E02000568,2016,4,1517.827586,1400.0,E02000568
E02000569,2016,4,2071.096774,1763.5,E02000569
E02000570,2016,4,1580.181818,1495.0,E02000570
E02000571,2016,4,1842.594595,1842.0,E02000571
E02000572,2016,4,1804.16129,1526.0,E02000572
E02000573,2016,4,1864.195122,1844.0,E02000573
E02000574,2016,4,1779.377778,1777.0,E02000574
E02000575,2016,4,2263.0,2225.0,E02000575
E02000576,2016,4,2456.04,2156.0,E02000576
E02000578,2016,4,1978.1,1842.0,E02000578
E02000579,2016,4,2122.0,2058.0,E02000579
E02000580,2016,4,2499.92,2037.0,E02000580
E02000581,2016,4,3228.333333,3250.0,E02000581
E02000582,2016,4,2670.393939,2145.0,E02000582
E02000583,2016,4,2933.054795,2416.0,E02000583
E02000584,2016,4,3234.984848,2700.0,E02000584
E02000585,2016,4,4669.401575,2600.0,E02000585
E02000586,2016,4,4743.0,3467.0,E02000586
E02000587,2016,4,2593.048,2383.0,E02000587
E02000588,2016,4,4869.98,3250.0,E02000588
E02000589,2016,4,2609.505747,2496.0,E02000589
E02000590,2016,4,2883.010753,2442.5,E02000590
E02000591,2016,4,2566.212389,2578.0,E02000591
E02000592,2016,4,3545.093023,3250.0,E02000592
E02000593,2016,4,2577.349593,2121.0,E02000593
E02000594,2016,4,3716.708333,3250.0,E02000594
E02000595,2016,4,3462.555556,2210.0,E02000595
E02000596,2016,4,2981.277778,3358.0,E02000596
E02000597,2016,4,2485.810811,2082.5,E02000597
E02000598,2016,4,1954.0,1600.0,E02000598
E02000599,2016,4,2652.692308,2150.0,E02000599
E02000600,2016,4,1565.0,1397.5,E02000600
E02000601,2016,4,1631.909091,1497.5,E02000601
E02000602,2016,4,1301.125,1250.0,E02000602
E02000603,2016,4,1589.583333,1650.0,E02000603
E02000604,2016,4,1680.16129,1500.0,E02000604
E02000605,2016,4,1346.25,1400.0,E02000605
E02000606,2016,4,1444.547945,1350.0,E02000606
E02000607,2016,4,1327.090909,1200.0,E02000607
E02000608,2016,4,1243.684211,1225.0,E02000608
E02000609,2016,4,1682.857143,1650.0,E02000609
E02000610,2016,4,1306.585366,1300.0,E02000610
E02000612,2016,4,1617.35,1495.0,E02000612
E02000613,2016,4,1303.653846,1275.0,E02000613
E02000614,2016,4,1209.210526,1225.0,E02000614
E02000619,2016,4,1859.631579,1625.0,E02000619
E02000620,2016,4,1967.545455,1820.0,E02000620
E02000621,2016,4,2107.666667,1950.0,E02000621
E02000622,2016,4,1865.396552,1707.0,E02000622
E02000623,2016,4,1804.5,1550.0,E02000623
E02000624,2016,4,1756.03125,1690.0,E02000624
E02000625,2016,4,1611.037037,1600.0,E02000625
E02000626,2016,4,1103.928571,1150.0,E02000626
E02000627,2016,4,1919.807692,1733.0,E02000627
E02000628,2016,4,1802.8,1700.0,E02000628
E02000629,2016,4,1867.0,1690.0,E02000629
E02000630,2016,4,1814.709677,1700.0,E02000630
E02000631,2016,4,1640.137931,1600.0,E02000631
E02000632,2016,4,1926.163043,1647.0,E02000632
E02000633,2016,4,1687.217391,1475.0,E02000633
E02000634,2016,4,1815.866667,1699.0,E02000634
E02000635,2016,4,1768.8,1625.0,E02000635
E02000636,2016,4,2238.529412,1950.0,E02000636
